"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Cote d'Ivoire","CIV","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6075","7.821666667","7.813333333","8.124166667","8.579166667","8.386666667","8.500833333","7.9925","7.654166667","7.258333333","6.998333333","6.925","","","","","","","","",
"Cameroon","CMR","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.5","7.5","7.5","7.75","8.083333333","5.5","5.375","5.041666667","5","5","5","5","5","5","5","4.916666667","4.333333333","4.25","3.75","3.25","3.25","3.25","3.25","3.208333333","2.6","2.45","2.45","2.45","2.45","","","","","","",
"Congo, Dem. Rep.","COD","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.38758333","7.7975","16.075","16.77333333","13.35666667","7.719166667","4.709","4.006666667","3.658333333","3.375","4.185","4.865","5.475833333","6.201666667","5.731539116","","","",
"Congo, Rep.","COG","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","5.5","6.5","6.5","6.5","7.5","7.5","8.25","8.104166667","7.791666667","7.8125","8","7.6875","7.5","7.5","7.75","8.083333333","5.5","5.458333333","5","5","5","5","5","5","5","5","4.916666667","4.333333333","4.25","3.75","3.25","3.25","3.25","3.25","3.208333333","2.6","2.45","2.45","","","","","","","","",
"Colombia","COL","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","31.36166667","30.79","33.45916667","33.7275","36.44083333","37.225","26.67166667","25.83583333","29.41583333","32.33833333","31.15","24.12833333","32.58333333","21.325","12.14666667","12.435","8.938333333","7.803333333","7.798333333","7.014270229","6.275211599","8.013912051","9.741080032","6.145783423","3.66186033","4.263884597","5.355833839","4.170017565","4.08940715","4.579239182","6.783432593","5.989398886","4.708551788","4.497932377","3.378089722","2.072649661","8.500123568","13.21337945","10.17262289",
"Comoros","COM","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3.166666667","3.5","3.5","3","2.5","2.5","2.5","1.875","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","1.75","2.0625","","",
"Cabo Verde","CPV","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.337048834","3.286461815","3.810163856","2.884593535","3.114278881","3.351215666","3.78753893","4.174495351","3.48231365","2.867881028","2.63376354","2.530028949","1.855518129","1.46457733","0.883783175","0.669166293","0.970085812","0.760144067","1.667039238",
"Costa Rica","CRI","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","18.29166667","19.5","14.5","16.5","16.67333333","14.05583333","15.17666667","15.6175","21.15583333","27.315","15.80333333","16.8975","17.72333333","23.87666667","17.29","13.025","12.75666667","14.30833333","13.3819475","11.77166111","11.45833333","10.40972222","9.513888889","10.1425","9.771666667","6.350833333","4.15","6.959166667","5.323333333","4.009166667","4.738611111","3.8775","3.322777778","2.370833333","1.2125","2.794333333","4.015727861","4.635107156","2.58321623","1.607133958","3.072180762","5.074694915","3.691833079",
"Caribbean small states","CSS","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Deposit interest rate (%)","FR.INR.DPST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
